name,name_hiragana,name_romaji,latitude,longitude,group_code,operator_name
割出,わりだし,waridashi,36.60289,136.64843,002070,北陸鉄道
北鉄金沢,ほくてつかなざわ,hokutetsukanazawa,36.57897,136.64989,002091,北陸鉄道
粟ヶ崎,あわがさき,awagasaki,36.63032,136.63844,002048,北陸鉄道
内灘,うちなだ,uchinada,36.63323,136.63418,002045,北陸鉄道
六渡寺,ろくどうじ,rokudouji,36.78883,137.06597,001802,万葉線
高岡駅,たかおかえき,takaokaeki,36.74155,137.01508,001870,万葉線
米島口,よねじまぐち,yonejimaguchi,36.77203,137.03848,001824,万葉線
志貴野中学校前,しきのちゅうがっこうまえ,shikinochuugakkoumae,36.75531,137.02352,001845,万葉線
急患医療センター前,きゅうかんいりょうせんたーまえ,kyuukanniryousennta-mae,36.74997,137.0181,001854,万葉線
新吉久,しんよしひさ,shinyoshihisa,36.77613,137.05298,001818,万葉線
坂下町,さかしたまち,sakashitamachi,36.74741,137.01487,001861,万葉線
広小路,ひろこうじ,hirokouji,36.75251,137.02069,001851,万葉線
市民病院前,しみんびょういんまえ,shiminbyouinmae,36.75819,137.02621,001842,万葉線
吉久,よしひさ,yoshihisa,36.78187,137.05636,001810,万葉線
新能町,しんのうまち,shinnoumachi,36.77028,137.03783,001826,万葉線
荻布,おぎの,ogino,36.76681,137.03576,001833,万葉線
片原町,かたはらまち,kataharamachi,36.74631,137.01291,001864,万葉線
旭ヶ丘,あさひがおか,asahigaoka,36.76332,137.03189,001834,万葉線
江尻,えじり,ejiri,36.76149,137.02986,001837,万葉線
能町口,のうまちぐち,noumachiguchi,36.77315,137.04878,001823,万葉線
中伏木,なかふしき,nakafushiki,36.78794,137.06148,001805,万葉線
庄川口,しょうがわぐち,shougawaguchi,36.78407,137.07101,001807,万葉線
越ノ潟,こしのかた,koshinokata,36.77484,137.11194,001820,万葉線
新町口,しんまちぐち,shinmachiguchi,36.77864,137.08432,001814,万葉線
第一イン新湊クロスベイ前,だいいちいんしんみなとくろすべいまえ,daiichiinnshinnminatokurosubeimae,36.78121,137.07841,001811,万葉線
東新湊,ひがししんみなと,higashishinminato,36.77787,137.09906,001815,万葉線
海王丸,かいおうまる,kaioumaru,36.77629,137.10669,001817,万葉線
中新湊,なかしんみなと,nakashinminato,36.775,137.08889,001819,万葉線
砂田橋,すなだばし,sunadabashi,35.18874,136.95442,005397,名古屋ガイドウェイバス
川宮,かわみや,kawamiya,35.21027,136.96204,005325,名古屋ガイドウェイバス
川村,かわむら,kawamura,35.21417,136.96874,005314,名古屋ガイドウェイバス
小幡緑地,おばたりょくち,obataryokuchi,35.21867,136.98286,005306,名古屋ガイドウェイバス
白沢渓谷,しらさわけいこく,shirasawakeikoku,35.21593,136.9785,005309,名古屋ガイドウェイバス
金屋,かなや,kanaya,35.2025,136.95675,005343,名古屋ガイドウェイバス
守山,もりやま,moriyama,35.19735,136.95655,005360,名古屋ガイドウェイバス
ナゴヤドーム前矢田,なごやどーむまえやだ,nagoyado-mumaeyada,35.19021,136.94742,005392,名古屋ガイドウェイバス
本郷,ほんごう,hongou,35.17533,137.01359,005430,名古屋市
