uuid,name,name_hiragana,name_romaji,latitude,longitude,group_code,operator_uuid
e85190b2-3c75-419f-ab29-07ef77a3b595,三国神社,みくにじんじゃ,mikunijinnja,36.21489,136.15834,002530,23a8c66d-9ab2-474f-80c6-7ee34f723acb
c4b5d4ae-947f-4cee-93b4-71687d8a9740,水居,みずい,mizui,36.21921,136.17231,002524,23a8c66d-9ab2-474f-80c6-7ee34f723acb
81b91621-3347-4ebd-ab4d-5ad99e87b97c,あわら湯のまち,あわらゆのまち,awarayunomachi,36.22296,136.1938,002519,23a8c66d-9ab2-474f-80c6-7ee34f723acb
90140136-6e8b-4926-a995-a949ffe34daf,西春江ハートピア,にしはるえはーとぴあ,nishiharueha-topia,36.1389,136.20622,002591,23a8c66d-9ab2-474f-80c6-7ee34f723acb
f9e4345b-6ce9-46d2-a111-faf60bc1bfac,田原町,たわらまち,tawaramachi,36.07486,136.21762,002669,23a8c66d-9ab2-474f-80c6-7ee34f723acb
fc6dcbdf-b6bf-4e6b-b5a2-ebabf0dd83e1,下兵庫こうふく,しもひょうごこうふく,shimohyougokoufuku,36.17012,136.20259,002567,23a8c66d-9ab2-474f-80c6-7ee34f723acb
018eaf05-9c31-44ce-8a4b-b78a1548d1cf,三国港,みくにみなと,mikuniminato,36.2201,136.14036,002522,23a8c66d-9ab2-474f-80c6-7ee34f723acb
781b2045-29d5-4f88-85ae-623f1d262412,本荘,ほんじょう,honnjou,36.20463,136.20316,002542,23a8c66d-9ab2-474f-80c6-7ee34f723acb
26973486-b0c4-4c3f-945c-55c642c087dc,志比堺,しいざかい,shiizakai,36.09777,136.31101,002631,23a8c66d-9ab2-474f-80c6-7ee34f723acb
782c3a44-15c2-44b8-81c5-5ec26049c123,越前竹原,えちぜんたけはら,echizenntakehara,36.07393,136.41303,002673,23a8c66d-9ab2-474f-80c6-7ee34f723acb
49ffc33a-1169-43ae-8a2f-d0d12c1289f8,保田,ほた,hota,36.06992,136.45165,002679,23a8c66d-9ab2-474f-80c6-7ee34f723acb
22ff89ca-35d3-45e1-9e91-5b4e9fd0b1a5,山王,さんのう,sannou,36.07912,136.39245,002659,23a8c66d-9ab2-474f-80c6-7ee34f723acb
022c9750-f628-4c2a-b3d2-37f72fdd5878,勝山,かつやま,katsuyama,36.05592,136.4922,002697,23a8c66d-9ab2-474f-80c6-7ee34f723acb
40765162-43d7-4d8d-a9d2-41b65fb371f8,越前野中,えちぜんのなか,echizennnonaka,36.08289,136.37688,002653,23a8c66d-9ab2-474f-80c6-7ee34f723acb
598420c3-0770-49a2-9ac9-93090c46af99,松岡,まつおか,matsuoka,36.09403,136.30173,002637,23a8c66d-9ab2-474f-80c6-7ee34f723acb
410034af-9441-48ed-a7c2-9203352e1084,発坂,ほっさか,hossaka,36.07259,136.46616,002675,23a8c66d-9ab2-474f-80c6-7ee34f723acb
386a9884-38b5-4bb7-876d-627366be7b46,光明寺,こうみょうじ,koumyouji,36.08842,136.34455,002645,23a8c66d-9ab2-474f-80c6-7ee34f723acb
b2158bad-abd5-41c0-8457-e632cdd66329,永平寺口,えいへいじぐち,eiheijiguchi,36.09581,136.32675,002634,23a8c66d-9ab2-474f-80c6-7ee34f723acb
41970c8c-6951-4283-b0f1-b41a957b8e2b,小舟渡,こぶなと,kobunato,36.07553,136.43405,002664,23a8c66d-9ab2-474f-80c6-7ee34f723acb
75b2c43c-c7e9-48c8-9240-c8db03fdf0d1,轟,どめき,domeki,36.08684,136.3611,002648,23a8c66d-9ab2-474f-80c6-7ee34f723acb
8afe0087-6e1c-4e4c-b06e-378e58f8187c,下志比,しもしい,shimoshii,36.09063,136.33641,002641,23a8c66d-9ab2-474f-80c6-7ee34f723acb
d106729a-f657-4782-a7e7-46e993aa1f06,比島,ひしま,hishima,36.06598,136.48411,002682,23a8c66d-9ab2-474f-80c6-7ee34f723acb
db932882-6a7f-4821-b0d2-cd236dbff942,越前新保,えちぜんしんぼ,echizennshinnbo,36.08038,136.25095,002658,23a8c66d-9ab2-474f-80c6-7ee34f723acb
3d2d7f93-0cdf-45d5-bd77-a9bf1b905c19,越前開発,えちぜんかいほつ,echizennkaihotsu,36.07531,136.24128,002667,23a8c66d-9ab2-474f-80c6-7ee34f723acb
8f5fd068-6b00-4253-92fe-0fd349e6b6a9,福井,ふくい,fukui,36.06159,136.22322,002688,23a8c66d-9ab2-474f-80c6-7ee34f723acb
969b61bf-ba79-4cdb-bf65-9575cf9eca3e,越前島橋,えちぜんしまばし,echizennshimabashi,36.09012,136.27727,002642,23a8c66d-9ab2-474f-80c6-7ee34f723acb
99797014-2ad3-4b6d-aae7-237ffadc1bbb,観音町,かんのんまち,kannnonnmachi,36.09183,136.28969,002639,23a8c66d-9ab2-474f-80c6-7ee34f723acb
13b07e32-4593-4f8b-930b-2480b448763a,東藤島,ひがしふじしま,higashifujishima,36.08663,136.26986,002649,23a8c66d-9ab2-474f-80c6-7ee34f723acb
5d6f4b69-00e3-4f97-b8a9-5a8f3923d0d3,新福井,しんふくい,shinnfukui,36.06484,136.22693,002685,23a8c66d-9ab2-474f-80c6-7ee34f723acb
4379af53-1488-4127-8c11-d79920dd4882,追分口,おいわけぐち,oiwakeguchi,36.08249,136.26138,002654,23a8c66d-9ab2-474f-80c6-7ee34f723acb
1f6e7879-44c7-4e7a-bed5-248b8d93d079,東多良木,ひがしたらぎ,higashitaragi,32.27225,130.9508,009899,defea993-ff4d-4e64-a591-7c70f5114898
bb495f58-c121-476b-aa75-b26b7da3a46a,一武,いちぶ,ichibu,32.21456,130.83994,009917,defea993-ff4d-4e64-a591-7c70f5114898
29d921be-b7a9-4765-be74-9739030fcea2,木上,きのえ,kinoe,32.22428,130.85891,009913,defea993-ff4d-4e64-a591-7c70f5114898
9a465b1d-cdce-48f6-acf8-076d309e23c1,公立病院前,こうりつびょういんまえ,kouritsubyouinnmae,32.25604,130.92189,009903,defea993-ff4d-4e64-a591-7c70f5114898
e375b26c-fb77-4f31-a4c6-f6f45e058980,多良木,たらぎ,taragi,32.26276,130.93319,009902,defea993-ff4d-4e64-a591-7c70f5114898
c14ca068-1bbc-4d2a-b548-11221b5a6d83,あさぎり,あさぎり,asagiri,32.23625,130.89376,009909,defea993-ff4d-4e64-a591-7c70f5114898
26da45d5-afcc-4e15-bf94-ad33d8036017,湯前,ゆのまえ,yunomae,32.28137,130.97987,009897,defea993-ff4d-4e64-a591-7c70f5114898
97112f5a-84fe-4ae1-95c9-0d7d205bc710,新鶴羽,しんつるば,shinntsuruba,32.27545,130.96621,009898,defea993-ff4d-4e64-a591-7c70f5114898
89da29d8-11a9-4ed9-bf75-489523fa509e,肥後西村,ひごにしのむら,higonishinomura,32.20227,130.80887,009922,defea993-ff4d-4e64-a591-7c70f5114898
6ae51158-52ea-406c-9d2f-d59cea0ffc91,おかどめ幸福,おかどめこうふく,okadomekoufuku,32.23145,130.87511,009911,defea993-ff4d-4e64-a591-7c70f5114898
286b69ff-c3c7-4ba2-a7c3-a5bb31e0a898,東免田,ひがしめんだ,higashimennda,32.2502,130.91302,009906,defea993-ff4d-4e64-a591-7c70f5114898
c282461d-5628-4b42-a703-da2f6683329d,相良藩願成寺,さがらはんがんじょうじ,sagarahanngannjouji,32.21837,130.76964,009914,defea993-ff4d-4e64-a591-7c70f5114898
05f6b078-e371-4d37-8d39-9706e875ed05,川村,かわむら,kawamura,32.20724,130.79535,009920,defea993-ff4d-4e64-a591-7c70f5114898
cf162317-6b13-4e1c-87b7-e268ad33f8ce,人吉温泉,ひとよしおんせん,hitoyoshionnsenn,32.21614,130.75382,009916,defea993-ff4d-4e64-a591-7c70f5114898
1ad495ae-ffe1-4ffa-ba08-853112ecb784,平原,ひらはら,hirahara,36.30864,138.45391,002414,a830dde2-57a9-408d-ad3c-ad1f57cc26e6
bb68b57a-6d36-4bff-a3f0-0fdd63c32c54,屋代高校前,やしろこうこうまえ,yashirokoukoumae,36.54796,138.13249,002132,a830dde2-57a9-408d-ad3c-ad1f57cc26e6
55c1283b-3b88-4dd8-b084-b3a91bcd0ac2,中軽井沢,なかかるいざわ,nakakaruizawa,36.34756,138.59321,002353,a830dde2-57a9-408d-ad3c-ad1f57cc26e6
da63ab84-0f0a-437f-8b11-e3a258de2a9d,御代田,みよた,miyota,36.31899,138.50632,002395,a830dde2-57a9-408d-ad3c-ad1f57cc26e6
9a13dc2e-0d33-4c6a-9809-15fdb050fddb,軽井沢,かるいざわ,karuizawa,36.34271,138.63501,002361,a830dde2-57a9-408d-ad3c-ad1f57cc26e6
f9c2ce86-6070-4fcd-b78a-5bcd30e93743,信濃追分,しなのおいわけ,shinanooiwake,36.33545,138.5585,002371,a830dde2-57a9-408d-ad3c-ad1f57cc26e6
afdd7807-49f4-472b-94b7-ec6e4d62d29e,田中,たなか,tanaka,36.35442,138.32921,002343,a830dde2-57a9-408d-ad3c-ad1f57cc26e6
6a2d8a12-9fd3-4017-aac7-9e8051672353,上田,うえだ,ueda,36.39588,138.25025,002275,a830dde2-57a9-408d-ad3c-ad1f57cc26e6
d37c3792-bdae-40d7-a228-b3f51039db7d,西上田,にしうえだ,nishiueda,36.41688,138.20906,002243,a830dde2-57a9-408d-ad3c-ad1f57cc26e6
28996ab9-4b57-4e57-87e9-100eee8a1417,戸倉,とぐら,togura,36.49287,138.15308,002185,a830dde2-57a9-408d-ad3c-ad1f57cc26e6
365e579c-f368-47f1-97bb-380c4d044045,坂城,さかき,sakaki,36.46198,138.18145,002211,a830dde2-57a9-408d-ad3c-ad1f57cc26e6
273e64eb-7fd9-4162-af16-09f046926a7b,信濃国分寺,しなのこくぶんじ,shinanokokubunnji,36.37832,138.27384,002303,a830dde2-57a9-408d-ad3c-ad1f57cc26e6
dc2255b7-4441-4831-93bd-a58ae728cc3c,大屋,おおや,ooya,36.36959,138.29713,002322,a830dde2-57a9-408d-ad3c-ad1f57cc26e6
18a07cee-e738-4412-aadb-e11859927f19,滋野,しげの,shigeno,36.34232,138.36391,002363,a830dde2-57a9-408d-ad3c-ad1f57cc26e6
c5a8f343-504a-4242-9e39-cfc610367274,屋代,やしろ,yashiro,36.53242,138.1282,002152,a830dde2-57a9-408d-ad3c-ad1f57cc26e6
2257dace-b594-446f-8c28-6880abc2343b,テクノさかき,てくのさかき,tekunosakaki,36.44058,138.1882,002223,a830dde2-57a9-408d-ad3c-ad1f57cc26e6
0d0f82f1-7973-4e0e-8a7a-f7bf93298003,小諸,こもろ,komoro,36.32566,138.42284,002384,a830dde2-57a9-408d-ad3c-ad1f57cc26e6
161556a2-5d33-4e7e-91ce-67af8a0b4641,篠ノ井,しののい,shinonoi,36.57696,138.13807,002096,a830dde2-57a9-408d-ad3c-ad1f57cc26e6
16d1c552-94a3-4096-8643-099fe4d058ea,みどり中街,みどりなかまち,midorinakamachi,34.42765,132.59502,007972,11c6a764-a150-49a4-856b-43b939adb07a
d889f77d-846a-45ca-8a20-d5a9801aeaa1,みどり中央,みどりちゅうおう,midorichuuou,34.43024,132.58961,007968,11c6a764-a150-49a4-856b-43b939adb07a
