uuid,name,alias_name
cb4a521d-5362-41ce-8a98-73507c3f7f6b,南阿蘇鉄道,南阿蘇鉄道
ed5232f9-530f-4e42-8ec5-23efe9a2382b,南海電気鉄道,南海電気鉄道
df0c1be1-03cb-4501-91d9-bc767180b486,能勢電鉄,能勢電鉄
30e134c0-64f1-48cc-b00d-f13949604a7c,函館市,函館市電
96ec54e0-b8c9-4776-acf5-a9248535c29a,箱根登山鉄道,箱根登山鉄道
42a3a634-3325-4db8-9bec-e06dfdf53cc6,皿倉登山鉄道,皿倉登山鉄道
0760b50c-5460-4221-8c17-c1723e169b9f,比叡山鉄道,比叡山鉄道
4ed8bdac-2de1-44df-92e4-8083e2966e00,肥薩おれんじ鉄道,肥薩おれんじ鉄道
8126254b-b4ac-41c9-84ba-12431c7bc5c8,富士山麓電気鉄道,富士山麓電気鉄道
88d4521b-d78d-4264-9bed-e63c247c2787,舞浜リゾートライン,舞浜リゾートライン
2609a9bf-b4bf-494a-b1c6-d9ff3d6f333c,福井鉄道,福井鉄道
fb0b8054-93a5-4369-a439-34dba9c4af09,福岡市,福岡市営地下鉄
01c3c6ad-a9bd-4504-8c1a-5207b48a0763,福島交通,福島交通
09d72e5a-79d6-4b28-8419-1f426f8a8562,平成筑豊鉄道,平成筑豊鉄道
9c66cf05-a1dd-4e60-80b4-03f600ac003a,豊橋鉄道,豊橋鉄道
274bf01b-5e74-499c-8362-730967c1db9e,北越急行,北越急行
f9a2877c-8070-4ca9-9dd4-3852eaae27bc,道南いさりび鉄道,道南いさりび鉄道
a13c1414-5e0d-4e68-b39b-80aed42a6a19,北海道旅客鉄道,JR北海道
7251dc23-6fe9-4fb4-83cb-c53341c83e82,WILLER　TRAINS,京都丹後鉄道
68b931bb-ef36-4f8c-885c-df75a1bbd1ae,北九州高速鉄道,北九州高速鉄道
9adcd7d1-74d7-4d36-8ea0-c4474a473953,北条鉄道,北条鉄道
b0d73605-6cc4-4102-9225-f48258a457a8,北総鉄道,北総鉄道
9de74f5e-c5e3-44ac-994d-1d612d9a4f69,北大阪急行電鉄,北大阪急行電鉄
6502924c-114d-4599-93ea-9bf3189f9c64,北陸鉄道,北陸鉄道
7c2b311d-0f5e-4751-922c-1a0f5e9509cc,万葉線,万葉線
a865a4f4-68d5-4f11-8f43-670ac4de40a9,名古屋ガイドウェイバス,名古屋ガイドウェイバス
9a7436f7-c216-425a-9583-a10905993f63,名古屋市,名古屋市営地下鉄
1188f936-949b-4cef-8fe3-87ea8d31e196,名古屋鉄道,名古屋鉄道
5f220a57-3d25-4afa-b548-5902499f0fe7,名古屋臨海高速鉄道,名古屋臨海高速鉄道
99cb89ae-7753-4f8e-b7be-084e52610177,明知鉄道,明知鉄道
f9998fd0-bb45-4cd5-b899-d150567cd067,野岩鉄道,野岩鉄道
c4ce7ba6-101f-4546-a9b6-c9d65670be8c,由利高原鉄道,由利高原鉄道
de67f437-5132-4197-8074-e30ec4e247b5,立山黒部貫光,立山黒部貫光
b25a8fa0-88e2-45a1-87f4-d4967e452b39,六甲山観光,六甲山観光
ae5ebdf9-6479-4d08-a875-5c2046b9ae09,和歌山電鐵,和歌山電鐵
c93f55e6-e98f-44c3-8bf9-0680c8accc8c,仙台空港鉄道,仙台空港鉄道
c2bae685-e2b1-403a-8c66-6d250ec2474e,ひたちなか海浜鉄道,ひたちなか海浜鉄道
9798cb0f-2ce3-4fc7-8205-695219ae666a,養老鉄道,養老鉄道
34d5e94a-be55-436f-88da-cfe495e9b159,ラクテンチ,ラクテンチ
28aeca0d-4069-41f9-a1f7-5771779392ed,伊賀鉄道,伊賀鉄道
ff6e77e6-0b9d-40ed-86b6-1033fea4f1c0,一般財団法人青函トンネル記念館,青函トンネル記念館
351541b0-eb15-4667-adc3-78bc393da8d5,宇都宮ライトレール,宇都宮ライトレール
